"0.886"
"class4","p"
"Ib","0.7437"
"nonevent","0.7941"
"nonevent","1.0"
"Ib","0.5823"
"nonevent","0.9738"
"nonevent","0.9495"
"nonevent","0.9938"
"II","0.4173"
"II","0.5502"
"nonevent","0.9991"
"II","0.4555"
"nonevent","0.777"
"II","0.6361"
"nonevent","0.998"
"Ib","0.4968"
"nonevent","0.7774"
"nonevent","0.9822"
"nonevent","0.9811"
"nonevent","0.9768"
"nonevent","0.9179"
"Ib","0.3756"
"II","0.5092"
"II","0.6369"
"nonevent","0.5087"
"II","0.4533"
"nonevent","0.9907"
"Ib","0.5661"
"nonevent","0.9614"
"nonevent","0.9986"
"nonevent","0.9818"
"II","0.5174"
"II","0.5699"
"nonevent","0.9999"
"nonevent","0.9095"
"nonevent","0.698"
"II","0.4584"
"nonevent","0.9756"
"nonevent","0.9767"
"nonevent","0.9111"
"Ia","0.5024"
"nonevent","0.9572"
"Ib","0.5035"
"nonevent","0.5444"
"II","0.5118"
"nonevent","0.8544"
"nonevent","0.997"
"nonevent","0.9999"
"nonevent","0.43"
"nonevent","0.7806"
"Ia","0.5964"
"nonevent","0.9999"
"nonevent","0.9203"
"nonevent","0.9998"
"II","0.5258"
"II","0.5803"
"nonevent","0.9269"
"nonevent","0.9853"
"nonevent","0.6758"
"nonevent","0.9859"
"nonevent","0.9985"
"Ib","0.5314"
"nonevent","0.9561"
"nonevent","0.9955"
"nonevent","0.9946"
"II","0.4004"
"nonevent","0.839"
"nonevent","0.816"
"nonevent","0.9267"
"Ib","0.4596"
"II","0.5905"
"nonevent","0.6905"
"nonevent","0.9922"
"Ib","0.7502"
"nonevent","0.9787"
"nonevent","0.7777"
"nonevent","0.8471"
"nonevent","0.9814"
"Ib","0.3748"
"Ib","0.3661"
"nonevent","0.9855"
"nonevent","0.9156"
"nonevent","0.7226"
"nonevent","0.896"
"nonevent","0.9963"
"nonevent","1.0"
"nonevent","0.9507"
"nonevent","0.8774"
"Ib","0.4377"
"nonevent","0.971"
"II","0.5586"
"Ia","0.6771"
"II","0.6677"
"II","0.8692"
"II","0.5492"
"Ib","0.4605"
"nonevent","0.7392"
"nonevent","0.9916"
"nonevent","0.6165"
"nonevent","0.9963"
"nonevent","0.9656"
"nonevent","0.8468"
"II","0.4321"
"nonevent","0.9976"
"nonevent","0.4955"
"nonevent","0.949"
"II","0.5575"
"Ib","0.6833"
"II","0.503"
"nonevent","0.9702"
"II","0.7068"
"Ib","0.4624"
"nonevent","0.9968"
"nonevent","0.9818"
"nonevent","0.9965"
"Ib","0.745"
"II","0.4411"
"Ib","0.7072"
"nonevent","0.6934"
"Ib","0.6367"
"nonevent","0.9003"
"Ia","0.4751"
"nonevent","0.9137"
"Ib","0.5248"
"nonevent","0.9959"
"Ib","0.5507"
"nonevent","0.5166"
"Ib","0.3858"
"nonevent","0.9919"
"nonevent","0.9979"
"nonevent","0.45"
"Ib","0.4424"
"nonevent","0.8424"
"nonevent","0.9953"
"II","0.6624"
"Ib","0.425"
"nonevent","0.9997"
"Ib","0.7357"
"Ib","0.5255"
"II","0.7795"
"Ia","0.5683"
"II","0.555"
"nonevent","0.9386"
"nonevent","0.895"
"II","0.5607"
"nonevent","0.5057"
"nonevent","0.9743"
"Ib","0.432"
"II","0.4588"
"Ib","0.4622"
"nonevent","0.9221"
"nonevent","0.4485"
"Ib","0.4901"
"nonevent","0.4826"
"nonevent","0.9962"
"nonevent","0.9765"
"II","0.7731"
"II","0.5567"
"Ia","0.5"
"II","0.5096"
"nonevent","0.9922"
"nonevent","0.9537"
"nonevent","0.5855"
"II","0.5986"
"II","0.5975"
"nonevent","0.9369"
"Ib","0.6717"
"nonevent","0.9658"
"nonevent","0.9539"
"nonevent","0.9813"
"II","0.6741"
"nonevent","0.8172"
"nonevent","0.9882"
"nonevent","0.9519"
"II","0.4535"
"II","0.6453"
"Ib","0.6733"
"nonevent","0.9941"
"nonevent","0.4612"
"nonevent","0.892"
"Ia","0.3592"
"nonevent","0.8645"
"nonevent","0.9936"
"II","0.5517"
"nonevent","0.7859"
"nonevent","0.3868"
"nonevent","0.9947"
"nonevent","0.9989"
"II","0.4213"
"II","0.702"
"Ib","0.6263"
"nonevent","0.9889"
"nonevent","0.9669"
"nonevent","0.999"
"II","0.544"
"nonevent","0.5407"
"nonevent","0.9763"
"nonevent","0.8885"
"nonevent","1.0"
"nonevent","0.9923"
"Ib","0.5304"
"II","0.3842"
"nonevent","0.9999"
"nonevent","0.4024"
"nonevent","0.9913"
"nonevent","0.827"
"nonevent","0.9963"
"Ib","0.5206"
"II","0.7337"
"II","0.5269"
"nonevent","0.9743"
"nonevent","0.7121"
"II","0.4958"
"nonevent","0.9872"
"nonevent","0.8871"
"II","0.4331"
"nonevent","1.0"
"nonevent","0.9593"
"Ia","0.3612"
"nonevent","0.9993"
"nonevent","1.0"
"nonevent","0.975"
"Ia","0.518"
"II","0.5891"
"nonevent","0.9406"
"II","0.5369"
"II","0.5199"
"II","0.4924"
"II","0.5531"
"Ib","0.3721"
"nonevent","0.9843"
"II","0.4387"
"Ib","0.6418"
"Ia","0.4641"
"nonevent","0.9862"
"Ib","0.4721"
"nonevent","0.9992"
"nonevent","0.9714"
"Ib","0.5082"
"nonevent","0.6634"
"Ib","0.6471"
"II","0.6754"
"nonevent","0.5588"
"Ia","0.4851"
"nonevent","0.6816"
"nonevent","0.5114"
"nonevent","0.9565"
"II","0.4836"
"nonevent","0.9251"
"nonevent","0.8562"
"nonevent","0.806"
"II","0.6146"
"nonevent","0.9808"
"nonevent","0.3926"
"nonevent","1.0"
"II","0.7991"
"II","0.4894"
"II","0.5362"
"Ib","0.47"
"nonevent","0.9963"
"nonevent","0.9965"
"II","0.494"
"nonevent","0.9999"
"II","0.4284"
"Ia","0.3906"
"nonevent","0.9586"
"nonevent","0.9961"
"nonevent","0.8584"
"nonevent","0.9589"
"nonevent","0.9984"
"nonevent","0.9904"
"nonevent","0.9859"
"nonevent","0.9943"
"Ib","0.4038"
"Ib","0.4956"
"II","0.5239"
"II","0.4818"
"nonevent","0.8892"
"II","0.6911"
"nonevent","0.9633"
